original_filename,new_filename,brand,awareness_level,psychological_lever,format,branded_raw,funnel_stage,emotion_tone,audience_signal,edge_cases_flagged,timestamp
422585428_1561173124618057_4273681970665437027_n.jpg,Norse_SolutionAware_Transformation_StatCallout_Raw_TOF_Bold_EmotionalSeeker.jpg,Norse,SolutionAware,Transformation,StatCallout,Raw,TOF,Bold,EmotionalSeeker,,2026-02-25
430335164_347325478289766_938460460853448725_n.jpg,Norse_SolutionAware_EmotionalResonance_UGC_Raw_TOF_Provocative_EmotionalSeeker.jpg,Norse,SolutionAware,EmotionalResonance,UGC,Raw,TOF,Provocative,EmotionalSeeker,Format=UGC: rant-style copy voice mimics real-person content,2026-02-25
439659295_320229687757307_2666825845340136656_n.jpg,Norse_ProductAware_SocialProof_Testimonial_Raw_MOF_Reassuring_Skeptic_01.jpg,Norse,ProductAware,SocialProof,Testimonial,Raw,MOF,Reassuring,Skeptic,,2026-02-25
447898371_1003939241088446_4287162782158347449_n (1).jpg,Norse_SolutionAware_SocialProof_Testimonial_Raw_TOF_Bold_Skeptic.jpg,Norse,SolutionAware,SocialProof,Testimonial,Raw,TOF,Bold,Skeptic,,2026-02-25
448630885_1820066891809403_4813353607878452060_n.jpg,Norse_SolutionAware_Identity_Branded_Branded_TOF_Bold_HealthConscious.jpg,Norse,SolutionAware,Identity,Branded,Branded,TOF,Bold,HealthConscious,,2026-02-25
448641890_796195862705510_2090465759973367700_n.jpg,Norse_SolutionAware_SocialProof_Testimonial_Raw_MOF_Empathetic_NewParent.jpg,Norse,SolutionAware,SocialProof,Testimonial,Raw,MOF,Empathetic,NewParent,,2026-02-25
448774965_1818851365278819_6873626877836685485_n.jpg,Norse_SolutionAware_Transformation_StickyNote_Raw_TOF_Bold_EmotionalSeeker.jpg,Norse,SolutionAware,Transformation,StickyNote,Raw,TOF,Bold,EmotionalSeeker,,2026-02-25
448792286_1243671613439473_8370630240350158673_n.jpg,Norse_ProductAware_Reciprocity_StickyNote_Raw_MOF_Bold_Skeptic.jpg,Norse,ProductAware,Reciprocity,StickyNote,Raw,MOF,Bold,Skeptic,,2026-02-25
464013819_1507725476537288_836093697307917632_n.jpg,Norse_SolutionAware_Transformation_BeforeAfter_Raw_TOF_Bold_NewParent.jpg,Norse,SolutionAware,Transformation,BeforeAfter,Raw,TOF,Bold,NewParent,,2026-02-25
464177306_1618207609104985_1064621534611514735_n.jpg,Norse_ProblemAware_EmotionalResonance_Branded_Branded_TOF_Empathetic_NewParent.jpg,Norse,ProblemAware,EmotionalResonance,Branded,Branded,TOF,Empathetic,NewParent,,2026-02-25
464181169_454826387086610_4018723940183252142_n.jpg,Norse_ProblemAware_SocialProof_Testimonial_Raw_MOF_Reassuring_HealthConscious.jpg,Norse,ProblemAware,SocialProof,Testimonial,Raw,MOF,Reassuring,HealthConscious,,2026-02-25
464188233_434420665983461_6941756418030405399_n.jpg,Norse_ProductAware_Transformation_BeforeAfter_Raw_MOF_Empathetic_NewParent.jpg,Norse,ProductAware,Transformation,BeforeAfter,Raw,MOF,Empathetic,NewParent,,2026-02-25
464192209_8603913463027495_1927437313266727138_n.jpg,Norse_SolutionAware_SocialProof_Testimonial_Raw_TOF_Bold_NewParent.jpg,Norse,SolutionAware,SocialProof,Testimonial,Raw,TOF,Bold,NewParent,,2026-02-25
464209313_3038450129627672_7921774548165762323_n.jpg,Norse_SolutionAware_Transformation_StickyNote_Raw_TOF_Bold_HealthConscious_01.jpg,Norse,SolutionAware,Transformation,StickyNote,Raw,TOF,Bold,HealthConscious,,2026-02-25
464244402_936937208329598_293151358627083038_n.jpg,Norse_ProductAware_SocialProof_Testimonial_Raw_MOF_Reassuring_Skeptic_02.jpg,Norse,ProductAware,SocialProof,Testimonial,Raw,MOF,Reassuring,Skeptic,,2026-02-25
464288342_527776280070004_4513794086771129145_n.jpg,Norse_SolutionAware_Transformation_StickyNote_Raw_TOF_Bold_HealthConscious_02.jpg,Norse,SolutionAware,Transformation,StickyNote,Raw,TOF,Bold,HealthConscious,,2026-02-25
464314774_1294211598614645_108591071325575374_n (1).jpg,Norse_ProductAware_Transformation_BeforeAfter_Raw_MOF_Empathetic_EmotionalSeeker.jpg,Norse,ProductAware,Transformation,BeforeAfter,Raw,MOF,Empathetic,EmotionalSeeker,,2026-02-25
464332051_528879009856169_2653524418319340893_n.jpg,Norse_SolutionAware_ValueProof_Listicle_Raw_TOF_Empathetic_Skeptic.jpg,Norse,SolutionAware,ValueProof,Listicle,Raw,TOF,Empathetic,Skeptic,,2026-02-25
464338199_579967581161691_261430975480927194_n.jpg,Norse_MostAware_Scarcity_StickyNote_Raw_BOF_Urgent_BudgetBuyer.jpg,Norse,MostAware,Scarcity,StickyNote,Raw,BOF,Urgent,BudgetBuyer,,2026-02-25
464387064_455251677044718_1470379200232451833_n (1).jpg,Norse_SolutionAware_Transformation_StatCallout_Raw_TOF_Bold_HealthConscious.jpg,Norse,SolutionAware,Transformation,StatCallout,Raw,TOF,Bold,HealthConscious,,2026-02-25
464387119_468132312940950_6037980963560100468_n.jpg,Norse_ProductAware_SocialProof_UGC_Raw_MOF_Aspirational_Skeptic.jpg,Norse,ProductAware,SocialProof,UGC,Raw,MOF,Aspirational,Skeptic,,2026-02-25
464440568_2257879354592789_3952708311330449616_n.jpg,Norse_SolutionAware_Transformation_BeforeAfter_Raw_TOF_Bold_EmotionalSeeker.jpg,Norse,SolutionAware,Transformation,BeforeAfter,Raw,TOF,Bold,EmotionalSeeker,,2026-02-25
464726353_488002640887349_991290783872009469_n.jpg,Norse_ProblemAware_Identity_Listicle_Raw_TOF_Bold_HealthConscious.jpg,Norse,ProblemAware,Identity,Listicle,Raw,TOF,Bold,HealthConscious,,2026-02-25
